avg.exp,pct.exp,features.plot,id,avg.exp.scaled
0.011203541,0.44,VIP,Inh-L6-SST-NPY,-0.283141209
1.2823025,56.04,SYP,Inh-L6-SST-NPY,-0.875490304
1.69793545,29.28,SST,Inh-L6-SST-NPY,2.5
0.151222302,5.92,RORB,Inh-L6-SST-NPY,-0.5449266
3.270441308,79.04,RBFOX3,Inh-L6-SST-NPY,-0.578759506
0.008555718,0.72,PVALB,Inh-L6-SST-NPY,-0.198351788
0.071670415,3.72,PCP4,Inh-L6-SST-NPY,-0.428020001
0.037765477,2.6,NTNG2,Inh-L6-SST-NPY,-0.406251162
0.290561253,11.48,NTNG1,Inh-L6-SST-NPY,-0.544064054
1.189772139,4.88,NPY,Inh-L6-SST-NPY,2.5
10.34819438,95.32,MAP2,Inh-L6-SST-NPY,0.313914713
0.504324596,26.72,LMO4,Inh-L6-SST-NPY,-0.966474436
1.19805469,53.68,LHX6,Inh-L6-SST-NPY,2.5
2.349106868,30.64,GPC5,Inh-L6-SST-NPY,-0.138404641
2.622706139,70.28,GAD2,Inh-L6-SST-NPY,0.671270562
3.734903825,78.56,GAD1,Inh-L6-SST-NPY,1.456202526
0.187565156,6.4,FOXP2,Inh-L6-SST-NPY,-0.683933016
1.218247406,29.04,CUX2,Inh-L6-SST-NPY,-0.242537874
0.327087789,14.68,CCK,Inh-L6-SST-NPY,-1.023084262
0.020642007,1.56,CALB2,Inh-L6-SST-NPY,-0.318053352
0.232079288,10.28,CALB1,Inh-L6-SST-NPY,2.5
5.11982128,85.6,APP,Inh-L6-SST-NPY,-1.188956122
0.290725445,10.04,ADARB2,Inh-L6-SST-NPY,-0.459148474
0.802616345,44.24,ADARB1,Inh-L6-SST-NPY,-0.040655301
0.307081242,13.36701883,VIP,Inh-L1-5-VIP-KCNJ2,0.635464797
1.228411761,60.81763895,SYP,Inh-L1-5-VIP-KCNJ2,-1.141408774
0.216472269,7.946715664,SST,Inh-L1-5-VIP-KCNJ2,-0.014922333
0.406472937,16.58245292,RORB,Inh-L1-5-VIP-KCNJ2,-0.479008213
4.263534784,88.01102435,RBFOX3,Inh-L1-5-VIP-KCNJ2,0.26277236
0.011289893,0.597152044,PVALB,Inh-L1-5-VIP-KCNJ2,-0.166635803
0.106771074,7.165824529,PCP4,Inh-L1-5-VIP-KCNJ2,-0.348546415
0.206139198,11.98897565,NTNG2,Inh-L1-5-VIP-KCNJ2,-0.128548179
0.465652141,15.61782269,NTNG1,Inh-L1-5-VIP-KCNJ2,-0.478328515
0.0191844,1.699586587,NPY,Inh-L1-5-VIP-KCNJ2,-0.25741293
9.888216103,96.55489205,MAP2,Inh-L1-5-VIP-KCNJ2,0.05738108
0.524350092,32.8892972,LMO4,Inh-L1-5-VIP-KCNJ2,-0.949327641
0.008534078,0.780891135,LHX6,Inh-L1-5-VIP-KCNJ2,-0.397960544
0.556431272,20.16536518,GPC5,Inh-L1-5-VIP-KCNJ2,-1.047281956
3.665142835,81.48828663,GAD2,Inh-L1-5-VIP-KCNJ2,1.169514623
2.763476942,76.15985301,GAD1,Inh-L1-5-VIP-KCNJ2,0.909004751
